intent,q,noisy,a
greeting,chào,chào
greeting,chào,sao
greeting,chào bạn,chào bà
greeting,chào bạn,chào bạn
greeting,chào buổi chiều,chào buổi chiếu
greeting,chào buổi chiều,chào buổi chiều
greeting,chào buổi chiều,sao vậy chiều
greeting,chào buổi sáng,chào buổi sáng
greeting,chào buổi sáng,chào buổi tối
greeting,chào cậu,chào cậu 
greeting,chào cậu,cho cậu
greeting,chào cậu,sao cậu
greeting,chào cậu,sao vậy
greeting,chào mừng bạn,chào mừng
greeting,chào mừng bạn,chào mừng bạn
greeting,chào mừng robot,chào mừng robot
greeting,chào robot,chào robot
greeting,chào robot,chào robot
greeting,good morning,good morning
greeting,hai robot,hai robot
greeting,hello,hello
greeting,hello,hello
greeting,hey robot,hey
greeting,hú robot,robot
greeting,kính chào bạn,kính chào
greeting,kính chào bạn,kính chào bạn
greeting,này robot,mày robot
greeting,này robot,này robot
greeting,này robot,nhảy robot
greeting,rất hân hạnh được làm quen,gà tấn hàng được làm quen
greeting,rất hân hạnh được làm quen,hạnh được làm quen với bạn
greeting,rất hân hạnh được làm quen,làm quen
greeting,rất hân hạnh được làm quen,rất hân hạnh được làm quen
greeting,rất vui được làm quen,rất vui được làm quen
greeting,rất vui được làm quen,rất vui được làm quen
greeting,robot yêu ơi,robot yêu ơi
greeting,xin chào,xin chào
greeting,xin chào bạn,xin chào bạn
end_conversation,bye,bye
end_conversation,good morning,goodbye
end_conversation,goodbye,goodbye
end_conversation,bye,bye
end_conversation,bye,see you soon
end_conversation,bye,see you tomorrow
end_conversation,bye,see you later
end_conversation,bye,good bye
end_conversation,bye,we will talk later
end_conversation,bye,that is all
end_conversation,bye,thank you
end_conversation,bye,bye bye
end_conversation,bye,just leave
end_conversation,bye,go away
end_conversation,bye,get out of my way 
end_conversation,bye,get the fuck off
end_conversation,bye,thanks
end_conversation,bye,tạm biệt
end_conversation,bye,bái bai
end_conversation,bye,bai bai
end_conversation,bye,chào bạn nhé
end_conversation,bye,gặp lại sau
end_conversation,bye,chúng ta sẽ nói chuyện sau nhé
end_conversation,bye,xin lỗi nhé mình phải đi có chút việc
end_conversation,bye,đi chỗ khác đi
end_conversation,bye,hẹn gặp lại
end_conversation,bye,thôi dừng ở đây nhé
end_conversation,bye,tránh ra
end_conversation,bye,đi nhá
end_conversation,bye,đi nha
end_conversation,bye,đi đây
end_conversation,bye,hẹn gặp lại sau
end_conversation,bye,cảm ơn nhé
end_conversation,bye,tôi đi đây
end_conversation,bye,mình đi trước nhé
end_conversation,bye,mình có việc rồi để sau nhé
end_conversation,bye,mình đi thôi
end_conversation,bye,ừ tôi qua chỗ khác đây
end_conversation,bye,tôi có việc rồi chào nhé
end_conversation,bye,mình bận mất rồi lúc khác nhé
end_conversation,bye,lúc khác nói chuyện sau
end_conversation,bye,để khi khác tiếp tục nha
end_conversation,bye,mình dừng ở đây thôi nhỉ
end_conversation,bye,để lần sau nhể
end_conversation,bye,sau này gặp lại
end_conversation,bye,dừng ở đây thôi
end_conversation,bye,thôi nhé
end_conversation,bye,thôi nhỉ
end_conversation,bye,dừng đây thôi ha
end_conversation,bye,mình ra nơi khác ha
end_conversation,bye,thôi mình không nói chuyện nữa nhá
end_conversation,bye,để sau đi nha
end_conversation,bye,ừ thôi làm việc của bạn đi
end_conversation,bye,đi ra chỗ kia đi
end_conversation,bye,ra khỏi đây đi
