intent,q,noisy,a
ask_point,tôi muốn kiểm tra điểm đầu vào các năm
ask_point,điểm đầu vào các năm
ask_point,điểm chuẩn các năm
ask_point,điểm chuẩn năm nay
ask_point,điểm chuẩn của trường đại học công nghệ
ask_point,điểm xét đầu vào của trường đại học công nghệ năm nay
ask_point,điểm xét đầu vào của trường đại học công nghệ các năm trước
ask_point,điểm chuẩn vào trường đại học công nghệ
ask_point,điểm chuẩn vào khoa công nghệ thông tin năm 2019
ask_point,điểm chuẩn vào khoa công nghệ thông tin năm 2018
ask_point,điểm chuẩn vào khoa công nghệ thông tin năm 2017
ask_point,điểm chuẩn vào khoa công nghệ thông tin năm 2016
ask_point,điểm chuẩn vào khoa điện tử viễn thông năm 2019
ask_point,điểm chuẩn vào khoa điện tử viễn thông năm 2018
ask_point,điểm chuẩn vào khoa điện tử viễn thông năm 2017
ask_point,điểm chuẩn vào khoa điện tử viễn thông năm 2016
ask_point,điểm chuẩn vào khoa vật lý kỹ thuật và công nghệ nano năm 2019
ask_point,điểm chuẩn vào khoa vật lý kỹ thuật và công nghệ nano năm 2018
ask_point,điểm chuẩn vào khoa vật lý kỹ thuật và công nghệ nano năm 2017
ask_point,điểm chuẩn vào khoa vật lý kỹ thuật và công nghệ nano năm 2016
ask_point,điểm chuẩn vào khoa cơ học kỹ thuật và tự động hóa năm 2020
ask_point,điểm chuẩn vào khoa cơ học kỹ thuật và tự động hóa năm 2019
ask_point,điểm chuẩn vào khoa cơ học kỹ thuật và tự động hóa năm 2018
ask_point,điểm chuẩn vào khoa cơ học kỹ thuật và tự động hóa năm 2017
ask_point,điểm chuẩn vào khoa công nghệ nông nghiệp năm 2020
ask_point,điểm chuẩn vào khoa công nghệ nông nghiệp năm 2019
ask_point,điểm chuẩn vào khoa công nghệ nông nghiệp năm 2018
ask_point,điểm chuẩn vào khoa công nghệ nông nghiệp năm 2017
ask_point,điểm chuẩn vào khoa công nghệ nông nghiệp năm 2016
ask_point,tôi muốn xem điểm đầu vào của trường
ask_faculty, tôi muốn biết thêm về các khoa của đại học công nghệ
ask_faculty, tôi muốn biết về khoa công nghệ thông tin
ask_faculty, các khoa của trường đại học công nghệ
ask_faculty, tôi muốn biết về khoa khoa học máy tính
ask_faculty, điện tử viễn thông
ask_faculty, tôi muốn biết thêm thông tin về các ngành học của trường đại học công nghệ
ask_information, tôi muốn biết thêm về trường đại học công nghệ
